name,,n,clinical_phase,moa,target,disease_area,indication,drug_median_score,in_vitro,all_virus_mock_meta_GSE47960_SARS-BatSRBD_HAE_36_72,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_12_48,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_48_60,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_0_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_48
penciclovir,,3,Launched,DNA directed DNA polymerase inhibitor,,dental,cold sore,907,FALSE,890,817,1435.5,1109,1234,334,679,978,907,1034,655
bromhexine,,11,Launched,mucolytic agent,,pulmonary,chest congestion,908,FALSE,1101,908,1473,712,661,293,859,1027,1000,1251,904
oxybuprocaine,,4,Launched,local anesthetic,SCN10A,neurology/psychiatry,local anesthetic,908,FALSE,1062,724,1612,908,791,1255,899,1073,1019,705,887
psb-1115,,2,Preclinical,adenosine receptor antagonist,ADORA1|ADORA2B|ADORA3,,,908,FALSE,1102,992,908,584,705,471,931,1089,569,1424,806
r-96544,,9,Preclinical,serotonin receptor antagonist,HTR2A,,,910,FALSE,938,1391,484,1409,1133,1350,862,256,682,894,910
epirubicin,,4,Launched,topoisomerase inhibitor,CHD1|TOP2A,oncology,breast cancer,911,FALSE,840,1133,100,1521,1346,911,578,182,553,1317,1655
apigenin,,29,Preclinical,casein kinase inhibitor|cell proliferation inhibitor,AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1,,,912,FALSE,629,985,261,912,967,1236,754,1211,934,868,770
fr-180204,,20,Preclinical,MAP kinase inhibitor,MAPK1|MAPK3,,,912,FALSE,1044,1340,776,578,539,912,816,954,1110,872,954
acitretin,,13,Launched,retinoid receptor agonist,RARA|RARB|RARG|RBP1|RXRA|RXRB|RXRG|STAT3,dermatology,psoriasis,915,FALSE,940,872,1131,511,670,468,566,1602,1481,915,1109
bd-1063,,9,Preclinical,sigma receptor antagonist,SIGMAR1,,,916,FALSE,770,669,1159,960,1524,916,1552,884,435,696,965
cabergoline,,9,Launched,dopamine receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR7,endocrinology,hyperprolactinemia,916,FALSE,916,1134,690,1002,1102,945,1188,423,419,871,807
venlafaxine,,4,Launched,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI),SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder,916,FALSE,271,1298,72,254,940,1212,1523,1173,916,844,290
ym-976,,6,Phase 1,phosphodiesterase inhibitor,PDE4A,,,916,FALSE,1429,697,621,1050,609,709,916,1387,844,1245,1067
acebutolol,,4,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension|ventricular arrhythmias,917,FALSE,848,917,1046,1032,462,736,994,1114,347,843,1202
fosinopril,,2,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure,918,FALSE,1708,918,1108,861,639,756,1070,794,1016,782,1309
doxapram,,3,Launched,potassium channel blocker,KCNK3|KCNK9,pulmonary|neurology/psychiatry,respiratory depression|central nervous system depression|acute hypercapnia (AHC),919,FALSE,1255,579,1110,382,454,422,948,562,1064,1082,919
zuclopenthixol,,9,Launched,dopamine receptor antagonist,ADRA1A|ADRA2A|DRD1|DRD2|DRD5|HRH1|HTR2A,neurology/psychiatry,schizophrenia|bipolar disorder,919,FALSE,1145,671,1238,985,731,919,1054,477,793,996,898
ccmq,,2,Preclinical,homoquinolinic acid binding inhibitor,,,,921,FALSE,288,921,1697,210,437,838,946,424,978,959,1103
zd-7155,,5,Preclinical,angiotensin receptor antagonist,AGTR1,,,921,FALSE,909,1018,1439,921,1001,789,1260,1374,417,710,433
mephenesin,,2,Launched,muscle relaxant,,neurology/psychiatry,muscle relaxant,922,FALSE,829,1143,962,523,1083,671,349,858,1540,1099,922
pre-084,,7,Preclinical,sigma receptor agonist,SIGMAR1,,,922,FALSE,1430,922,796,1225,1252,754,1089,1013,646,790,896
prazosin,,6,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|KCNH2|KCNH6|KCNH7,cardiology,hypertension,923,FALSE,811,923,649,1248,1159,1458,1328,996,574,864,888
cefdinir,,3,Launched,bacterial cell wall synthesis inhibitor,MPO,infectious disease|otolaryngology|pulmonary,pneumonia|tonsillitis|pharyngitis|bronchitis|skin infections|otitis|sinusitis,924,FALSE,652,335,286,1563,924,785,1497,749,1103,1159,1151
fexofenadine,,4,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria,925,FALSE,875,957,395,1170,1244,1550,430,829,1092,925,857
ropivacaine,,2,Launched,sodium channel blocker,SCN10A,neurology/psychiatry,anesthetic,925,FALSE,913,1263,1608,518,925,1172,1482,211,585,806,1034
gallic-acid,,3,Preclinical,beta amyloid protein neurotoxicity inhibitor|PPAR receptor agonist,CA1|CA12|CA14|CA2|CA4|CA6|CA9|SELP,,,926,FALSE,385,324,1391,1172,1161,1286,926,835,376,1156,340
emd-66684,,4,Preclinical,angiotensin receptor antagonist,AGTR1,,,927,FALSE,1391,574,1080,703,637,610,1037,912,1390,1057,927
remacemide,,10,Phase 3,glutamate receptor antagonist,GRIN1,,,927,FALSE,842,453,951,927,986,1161,933,639,532,927,490
betamethasone,,25,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses,928,FALSE,820,982,938,558,371,499,928,949,1144,851,944
rizatriptan,,6,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F,neurology/psychiatry,migraine headache,929,FALSE,715,634,952.5,814,1088,917,1199,758,929,1130,1480
diperodon,,2,Preclinical,local anesthetic,,,,930,FALSE,304,888,30,1150,1531,1188,300,1267,328,930,1170
dioxybenzone,,8,Preclinical,topical sunscreen agent,,,,932,FALSE,1010,932,480,838,1320,1219,1573,1235,683,902,682
hydrochlorothiazide,,2,Launched,thiazide diuretic,CA1|CA12|CA2|CA4|CA9|KCNMA1|SLC12A3,cardiology,hypertension|congestive heart failure,932,FALSE,1092,1058,993,932,761,1287,1494,212,161,608,712
pantoprazole,,5,Launched,ATPase inhibitor,ATP4A,gastroenterology,gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)|Zollinger-Ellison syndrome,932,FALSE,581,965,543,670,801,879,1360,1433,1460,932,1284
dppe,,5,Phase 3,histamine receptor antagonist,ABCB1|HRH1,,,933,FALSE,1167,589,1596,1073,795,933,996,308,1248,647,831
imipramine,,4,Launched,norepinephrine reputake inhibitor|serotonin reuptake inhibitor,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry|urology,depression|nocturnal enuresis,933,FALSE,352,820,933,1371,573,635,493,1498,988,1297,1016
ro-60-0175,,6,Preclinical,,HTR2A|HTR2B|HTR2C,,,934,FALSE,648,1096,934,1100,991,908,887,1483,1023,838,626
aminocaproic-acid,,2,Launched,plasminogen activator inhibitor,LPA|PLAT|PLG,hematology,fibrinolytic bleeding,935,FALSE,1590,886,935,1516,1707,1471,239,265,252,1136,527
nisoxetine,,6,Phase 1,norepinephrine reuptake inhibitor,SLC6A2|SLC6A3|SLC6A4,,,936,FALSE,803,977,755,1121,851,936,1427,920,690,1167,1021
procarbazine,,5,Launched,monoamine oxidase inhibitor,,hematologic malignancy,Hodgkin's lymphoma,936,FALSE,972,625,470,437,521,1398,1291,683,1388,1281,936
proxyfan,,2,Preclinical,histamine receptor modulator,HRH3,,,937,FALSE,937,1186,1318,926,522,489,606,188,1572,1570,1301
reboxetine,,7,Launched,adrenergic receptor antagonist,SLC6A2,neurology/psychiatry,depression,937,FALSE,524,962,445,781,1210,918,1505,937,1140,867,988
sant-1,,2,Preclinical,smoothened receptor antagonist,SHH|SMO,,,938,FALSE,286,1489,1003,745,938,1565,1666,548,1082,908,917
gw-9508,,7,Preclinical,free fatty acid receptor agonist|G protein-coupled receptor agonist,FFAR1|FFAR4,,,941,FALSE,401,1172,1072,357,421,1081,745,941,963,1027,813
pd-160170,,10,Preclinical,neuropeptide receptor antagonist,NPY1R,,,941,FALSE,949,791,967,865,941,797,914,948,1171,623,961
riboflavin,,2,Launched,vitamin B2,BLVRB|RFK,gastroenterology,jaundice,941,FALSE,1295,819,105,1401,850,583,1713,1564,458,941,1073
atomoxetine,,7,Launched,norepinephrine transporter inhibitor,GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD),943,FALSE,1127,483,401,1157,1299,1251,1588,943,882,901,702
milnacipran,,2,Launched,serotonin–norepinephrine reuptake inhibitor (SNRI),GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A4,rheumatology,fibromyalgia,943,FALSE,117,632,837,1057,512,714,1422,1080,1079,1009,943
ku-60019,,18,Preclinical,ATM kinase inhibitor,ATM,,,944,FALSE,1193,1148,498,650,408,667,661,1035,1263,944,1219
mdl-72832,,5,Preclinical,serotonin receptor agonist,HTR1A,,,944,FALSE,1680,944,883,823,614,548,1627,1524,995,1212,600
hesperidin,,4,Launched,flavanone glycoside,CACNA1B,,,945,FALSE,1461,978,907,945,590,721,485,863,1538,988,1205
albendazole,,26,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis,947,FALSE,727,514,1377,1058,1226,947,672,911,857,976,1380
azacyclonol,,7,Preclinical,histamine receptor antagonist,HRH1,,,947,FALSE,1184,1187,947,575,500,620,943,962,814,1004,1160
desoxycortone,,10,Preclinical,mineralocorticoid receptor agonist,NR3C1|NR3C2,,,947,FALSE,1065,778,1542,1007,947,645,475,1142,1087,717,662
estradiol-cypionate,,7,Launched,estrogen receptor agonist,ESR1,endocrinology,hypoestrogenism|menopause,947,FALSE,1282,573,990,461,775,1514,1301,947,1146,795,785
ciglitazone,,10,Phase 2,PPAR receptor agonist,PPARG,,,950,FALSE,1502,991,688,1174,1053,720,958,498,799,873,950
diflunisal,,2,Launched,prostanoid receptor antagonist,PTGS1|PTGS2,rheumatology,rheumatoid arthritis|osteoarthritis,951,FALSE,982,1633,319,730,541,951,1631,1308,309,1058,918
naltrindole,,6,Preclinical,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,,,953,FALSE,925,953,1329,1146,1347,1027,1479,337,809,834,582
iobenguane,,6,Launched,antineoplastic agent,,oncology|cardiology|endocrinology,neuroblastoma|congestive heart failure|pheochromocytoma,954,FALSE,1273,954,1059,1320,828,954,610,669,897,1085,1210
brimonidine,,3,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,ophthalmology,intraocular pressure|glaucoma|ocular hypertension,955,FALSE,1656,497,578.5,809,955,644,1055,1593,1602,848,1102
tiabendazole,,9,Launched,angiogenesis inhibitor,,infectious disease,gastrointestinal roundworms|hookworm,955,FALSE,692,1117,534,901,1077,971,1014,539,955,1182,680
az-10417808,,8,Preclinical,caspase inhibitor,CASP3,,,956,FALSE,1352,1284,936,956,934,782,966,1092,729,1000,558
iohexol,,2,Launched,radiopaque medium,,radiology,contrast agent,956,FALSE,392,1645,956,889,797,1225,1173,1366,1349,614,751
rofecoxib,,4,Withdrawn,cyclooxygenase inhibitor,ELN|PTGS2,,,956,FALSE,974,956,1344,756,547,874,1345,876,1275,785,1227
nizatidine,,9,Launched,histamine receptor antagonist,HRH2,gastroenterology,duodenal ulcer disease|erosive esophagitis (EE)|ulcerative esophagitis (UE)|gastroesophageal reflux disease (GERD),957,FALSE,957,787,1262,991,1364,915,1066,866,896,1047,899
sulforaphane,,78,Phase 2,anticancer agent|aryl hydrocarbon receptor antagonist,NFE2L2,,,957,FALSE,1304,562,998,1066,1125,956,923,1217,850,957,847
purmorphamine,,34,Preclinical,smoothened receptor agonist,SMO,,,958,FALSE,1100,641,1295,868,958,501,649,907,969,995,1341
dihydroxyphenylglycine,,2,Preclinical,glutamate receptor agonist,GRM1|GRM5,,,959,FALSE,1589,510,959,1523,1657,900,114,617,743,1466,1111
biperiden,,10,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,neurology/psychiatry,Parkinson's Disease,960,FALSE,906,271,1064,1227,1401,1154,1039,960,577,731,553
molindone,,4,Launched,dopamine receptor antagonist,CHRM1|DRD2|HRH1|HTR1A|HTR2A,neurology/psychiatry,schizophrenia,961,FALSE,1585,1109,775,1326,768,961,707,1077,676,730,1703
bicalutamide,,6,Launched,androgen receptor antagonist,AR,oncology,prostate cancer,962,FALSE,448,1405,1211,1001,847,679,962,281,1198,916,1244
celecoxib,,11,Launched,cyclooxygenase inhibitor,CA12|PDPK1|PTGS2,rheumatology|endocrinology,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD),963,FALSE,1011,1120,820,714,525,505,885,1459,1415,963,1049
tyrphostin-ag-18,,8,Preclinical,EGFR inhibitor|tyrosine kinase inhibitor,EGFR,,,963,FALSE,678,1398,1062,705,780,963,749,1627,1433,1316,617
ethinyl-estradiol,,4,Launched,estrogen receptor agonist|estrogenic hormone,ESR1|ESR2|NR1I2,endocrinology,contraceptive,964,FALSE,1018,408,1699,950,756,910,1541,1515,1545,964,929
l-733060,,11,Preclinical,tachykinin antagonist,TACR1,,,964,FALSE,904,969,417,1302,1175,1280,1361,204,278,862,964
sb-366791,,11,Preclinical,TRPV antagonist,TRPV1,,,967,FALSE,1331,560,348,1518,1613,1616,1632,931,687,946,967
betaxolol,,4,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,ophthalmology,intraocular pressure|glaucoma|ocular hypertension,969,FALSE,656,1513,957,969,704,893,658,1536,1459,1386,1128
ganciclovir,,2,Launched,DNA polymerase inhibitor,,infectious disease,cytomegalovirus (CMV),969,FALSE,1035,636,695,274,1004,949,1456,969,1053,928,1343
cgp-13501,,5,Preclinical,GABA receptor modulator,GABBR1,,,972,FALSE,923,1168,911,775,498,745,1326,972,1207,1059,1285
gr-113808,,5,Preclinical,serotonin receptor antagonist,HTR4,,,972,FALSE,1333,195,540,1446,1690,1529,1476,748,186,972,594
l-701252,,7,Preclinical,glutamate receptor antagonist,GRIN1,,,972,FALSE,578,972,500,919,1062,938,1451,1006,842,1162,1002
leflunomide,,7,Launched,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor,AHR|DHODH|PTK2B,rheumatology,rheumatoid arthritis,974,FALSE,1050,1049,80,1163,999,839,1406,793,974,847,463
pyridoxine,,3,Launched,vitamin B,DDC|PDXK,metabolism,vitamin B6 deficiency,974,FALSE,1355,866,578.5,834,974,1358,369,360,1484,1503,1364
acarbose,,8,Launched,glucosidase inhibitor,AMY2A|GAA|MGAM|SI,endocrinology,diabetes mellitus,976,FALSE,1353,1011,692,976,830,758,903,399,1003,993,1025
latanoprost,,3,Launched,prostanoid receptor agonist,PTGFR,ophthalmology,ocular hypertension|glaucoma,976,FALSE,544,1116,1341,560,289,575,761,1336,976,1051,1324
telmisartan,,8,Launched,angiotensin receptor antagonist,AGTR1|PPARG,cardiology,hypertension,977,FALSE,569,618,1093,1112,845,454,864,1502,1116,977,1080
meloxicam,,10,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis,978,FALSE,1162,830,1114,788,1075,826,1443,1069,846,950,978
linsitinib,,43,Phase 3,IGF-1 inhibitor,IGF1R|INSR|INSRR,,,979,FALSE,1248,893,1158,1008,1260,907,565,259,922,979,1260
exemestane,,13,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer,980,FALSE,547,1008,1334,325,548,565,1076,1496,1242,980,829
ntzdpa,,5,Preclinical,PPAR receptor agonist,PPARG,,,980,FALSE,171,1387,1474,257,330,980,1442,1532,1277,711,745
dimercaptosuccinic-acid,,3,Launched,chelating agent,DNMT1,neurology/psychiatry,metal toxicity,981,FALSE,654,981,1435.5,397,359,533,1110,1718,1547,1409,484
bp-554,,6,Preclinical,serotonin receptor agonist,HTR1A,,,983,FALSE,1026,727,1174,881,1117,1065,983,1133,635,679,551
naftopidil,,5,Launched,adrenergic receptor antagonist,ADRA1A,urology,benign prostatic hyperplasia (BPH),983,FALSE,1341,1235,533,914,702,1336,1621,662,680,983,1179
eprosartan,,2,Launched,angiotensin receptor antagonist,AGTR1,cardiology,hypertension,986,FALSE,1079,1505,1017,954,509,1470,247,576,1061,986,834
zebularine,,26,Preclinical,DNA methyltransferase inhibitor,CDA|DNMT1,,,987,FALSE,864,1233,857,929,987,1311,1168,1330,924,1100,838
5-hydroxytryptophan,,2,Launched,neurotransmitter,SLC36A1|SLC36A2,neurology/psychiatry,insomnia,989,FALSE,1006,1280,711,513,1419,1667,235,536,1403,272,989
cyclizine,,2,Launched,histamine receptor modulator,HRH1|SULT1E1,gastroenterology|neurology/psychiatry,nausea|vomiting|vertigo|motion sickness,991,FALSE,197,399,1207,1076,1064,140,991,1422,1447,702,653
ethisterone,,6,Launched,progestogen hormone,TYR,,,992,FALSE,1481,378,1363,992,837,550,370,694,1008,1007,1423
gatifloxacin,,6,Withdrawn,bacterial DNA gyrase inhibitor,,,,993,FALSE,819,772,1333,1504,1457,993,1574,365,372,1091,781
phenylbutazone,,2,Withdrawn,cyclooxygenase inhibitor|prostanoid receptor antagonist,PTGIS|PTGS1|PTGS2,,,994,FALSE,317,1500,978,1639,1128,994,1278,443,871,1330,703
htmt,,7,Preclinical,histamine receptor agonist,HRH4,,,999,FALSE,1120,1429,1269,880,965,964,1221,732,780,999,1028
minaprine,,3,Withdrawn,serotonin reuptake inhibitor,ACHE|CHRM1|DRD1|DRD2|HTR2A|HTR2B|HTR2C|MAOA|SLC6A4,,,1002,FALSE,618,1698,397,783,435,1089,1086,830,1002,1499,1087
haloperidol,,5,Launched,dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|DRD5|GRIN2B|HRH1|HTR1A|HTR1D|HTR2A|HTR2B|HTR7|KCNH1,neurology/psychiatry,schizophrenia|Tourette's disorder,1003,FALSE,1268,801,562,1223,1003,887,1484,347,476,1110,1393
pentylenetetrazol,,4,Withdrawn,GABA receptor antagonist,,,,1003,FALSE,1085,847,305,1457,1315,1607,1003,1122,674,610,802
sarafloxacin,,2,Launched,bacterial DNA gyrase inhibitor,,,,1006,FALSE,421,1474,74,1404,1544,1101,265,663,1006,953,1307
cp-94253,,7,Preclinical,serotonin receptor agonist,HTR1B,,,1009,FALSE,1143,1009,1234,1419,1183,787,676,779,1125,816,977
oxcarbazepine,,6,Launched,sodium channel blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures,1010,FALSE,1209,1227,858,1165,980,523,541,1010,1045,973,1447
torasemide,,3,Launched,electrolyte reabsorption inhibitor|thromboxane receptor antagonist,SLC12A1,cardiology,edema|congestive heart failure|hypertension,1011,FALSE,370,526,1185,1068,1473,1011,477,1065,982,1472,999
diloxanide,,6,Launched,protein synthesis inhibitor,,infectious disease,amebiasis,1012,FALSE,704,936,1012,853,825,860,1126,1607,1501,1301,1142
sb-258585,,7,Preclinical,serotonin receptor antagonist,HTR6,,,1012,FALSE,1012,360,1128,1204,1352,1207,1269,614,463,747,822
pirenperone,,8,Preclinical,serotonin receptor antagonist,HTR2A|HTR7,,,1013,FALSE,1027,1207,1416,876,1013,943,662,689,965,1264,1333
brl-37344,,7,Phase 2,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3,,,1016,FALSE,625,1539,1116,779,1194,773,1167,1016,848,1149,909
ciproxifan,,2,Preclinical,histamine receptor antagonist,ADRA2A|ADRA2C|HRH3|HRH4|HTR3A,,,1017,FALSE,738,1627,675,1454,879,1318,1572,296,859,1017,1132
formestane,,2,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer,1017,FALSE,1519,268,61,980,1059,1468,198,420,1017,1180,1114
diltiazem,,13,Launched,calcium channel blocker,CACNA1C|CACNA1S|CACNA2D1|CACNG1|HTR3A|KCNA5,cardiology,hypertension|angina pectoris,1019,FALSE,1203,906,1192,822,1140,687,1088,1053,977,1019,868
cilastatin,,3,Launched,dehydropeptidase inhibitor,DPEP1,,,1020,FALSE,1534,740,1430,953,1142,1288,992,1020,964,1169,955
thioproperazine,,8,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A,neurology/psychiatry,schizophrenia,1021,FALSE,1076,698,260,1400,1434,1173,1402,1021,422,892,963
piperine,,4,Phase 1,monoamine oxidase inhibitor,MAOA|MAOB|TRPV1,,,1022,FALSE,459,1417,980,1022,1060,1587,1327,255,972,791,1085
protriptyline,,9,Launched,tricyclic antidepressant,SLC6A2|SLC6A4,neurology/psychiatry,depression,1022,FALSE,1543,829,839,1501,1436,1500,1591,558,584,587,1022
estrone,,10,Launched,estrogen receptor agonist|estrogenic hormone,ESR1|ESR2,,,1023,FALSE,995,776,1591,890,776,1023,932,1648,1438,1238,1045
pg-9,,7,Preclinical,acetylcholine receptor agonist,,,,1023,FALSE,1070,1023,592,916,1086,1298,1609,674,678,1122,952
benfluorex,,3,Withdrawn,gluconeogenesis inhibitor,HMGCR,,,1024,FALSE,1246,878,381,1656,1712,1024,43,547,643,1403,1557
tenidap,,8,Phase 3,cyclooxygenase inhibitor,KCNJ4|PTGS1,,,1024,FALSE,1212,522,1299,1203,1543,901,733,1024,714,704,1062
bml-190,,4,Preclinical,cannabinoid receptor inverse agonist,CNR2,,,1026,FALSE,886,1257,751,968,1026,607,646,1220,1212,1208,1195
dmp-543,,7,Phase 2,acetylcholine release enhancer,,,,1026,FALSE,638,1131,376,1572,1517,1462,1139,572,556,1026,1023
tribenoside,,2,Launched,anti-inflammatory agent|capillary stabilizing agent,,,,1026,FALSE,1593,295,1026,808,946,1469,880,1646,1226,1543,498
l-165041,,9,Preclinical,PPAR receptor agonist,PPARD,,,1028,FALSE,694,1054,1408,618,388,428,1503,1494,1294,1028,921
zm-306416,,7,Preclinical,Abl kinase inhibitor|src inhibitor|VEGFR inhibitor,EGFR|FLT1|FLT4|KDR,,,1028,FALSE,861,1421,1050,1087,1131,1246,1028,165,592,563,892
gw-5074,,40,Preclinical,RAF inhibitor|leucine rich repeat kinase inhibitor,NTRK1|RAF1,,,1029,FALSE,1025,1293,1398,581,662,757,935,1388,1245,1142,1029
hydralazine,,2,Launched,vasodilator,AOC3|P4HA1,cardiology,hypertension,1031,FALSE,1032,867,574,957,1304,849,1688,1669,1204,1031,938
pilocarpine,,2,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,ophthalmology|cardiology,glaucoma|hypertension,1031,FALSE,1630,1124,212,900,1321,1343,1703,593,1031,668,942
argatroban,,3,Launched,thrombin inhibitor,F2,hematology,heparin-induced thrombocytopenia (HIT),1033,FALSE,606,1224,418,1270,1033,1084,1289,1321,461,754,389
dapsone,,4,Launched,bacterial antifolate,DHFR,dermatology|infectious disease,dermatitis herpetiformis (DH)|leprosy,1033,FALSE,978,1090,1529,1026,1546,844,1534,882,1158,966,1033
jx-401,,10,Preclinical,p38 MAPK inhibitor,MAPK14,,,1033,FALSE,680,1192,1032,735,506,1033,1074,955,1414,1101,1172
metyrapone,,5,Launched,cytochrome P450 inhibitor,CYP11B1,nephrology,adrenal diagnostic agent,1034,FALSE,620,1034,1698,1188,559,215,704,1325,1154,1089,949
ritodrine,,7,Launched,adrenergic receptor agonist,ADRB2,obstetrics/gynecology,premature labor,1034,FALSE,1527,948,1623,1322,1034,708,936,598,768,1103,1255
yohimbine,,7,Launched,adrenergic receptor antagonist,ADRA2A|ADRA2B|ADRA2C|DRD2|DRD3|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|KCNJ1|KCNJ10|KCNJ11|KCNJ12|KCNJ14|KCNJ15|KCNJ8,cardiology,cardiac arrythmia|bradycardia,1034,FALSE,1320,874,1434,1110,905,1220,1605,1034,887,949,685
aminopentamide,,3,Launched,acetylcholine receptor antagonist,CHRM1,gastroenterology,acute abdominal visceral spasm|hypertrophic gastritis (GHG)|nausea,1035,FALSE,558,840,530,741,1035,1003,1135,1547,1682,1164,1239
bd-1047,,8,Preclinical,adrenergic receptor antagonist,SIGMAR1,,,1035,FALSE,1150,577,448,946,1042,1083,1144,1190,1035,786,941
rev-5901,,4,Phase 2,leukotriene receptor antagonist|lipoxygenase inhibitor,ALOX5,,,1035,FALSE,1105,1309,1575,819,862,473,1035,899,1189,1328,837
dipyridamole,,11,Launched,phosphodiesterase inhibitor,ADA|PDE10A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|SLC29A1,cardiology,coronary artery disease (CAD)|peripheral artery disease (PAD)|hypertension,1036,FALSE,792,1185,1339,974,1036,850,387,1159,1168,1163,1012
fenobam,,6,Phase 2,glutamate receptor antagonist,GRM5,,,1036,FALSE,1036,1123,963,1255,959,1151,918,1078,949,1093,993
gw-1929,,5,Preclinical,PPAR receptor agonist,PPARG,,,1036,FALSE,528,532,1374,1036,1259,1115,1317,1472,339,617,667
telenzepine,,2,Phase 3,acetylcholine receptor antagonist,CHRM1,,,1036,FALSE,1060,1013,93,1689,1607,1106,920,515,667,1226,1036
osthol,,5,Preclinical,calcium channel blocker,,,,1037,FALSE,478,1384,1331,686,743,1037,924,675,1193,1192,1252
risperidone,,8,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|HTR7,neurology/psychiatry,schizophrenia|bipolar disorder|irritability,1038,FALSE,1123,1118,398,962,877,935,1207,1236,1196,1038,995
tivozanib,,62,Phase 3,VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB,,,1039,FALSE,1164,885,896,1184,1039,1181,1312,307,620,969,1181
jnj-10191584,,5,Preclinical,histamine receptor antagonist,HRH4,,,1040,FALSE,1131,343,1015,750,1243,1223,1065,1060,1040,1001,948
vx-745,,18,Phase 2,p38 MAPK inhibitor,MAPK11|MAPK12|MAPK14,,,1040,FALSE,914,1040,1539,1238,1217,1200,529,1040,996,1002,1139
omeprazole,,4,Launched,ATPase inhibitor,ATP4A|CLCN2,gastroenterology,heartburn,1041,FALSE,573,1488,110,717,390,1253,315,1041,1673,1566,1671
